Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Connection type (product.metafields.shopify.connection-type),Material (product.metafields.shopify.material),Mouse technology (product.metafields.shopify.mouse-technology),Mouse/Trackball features (product.metafields.shopify.mouse-trackball-features),Power source (product.metafields.shopify.power-source),Treatment objective (product.metafields.shopify.treatment-objective),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Status
9080a-multi-purpose-electric-air-pump-without-valve-adaptors-for-quickly-inflatesdeflates-sofa-bed-swimming-pool-tubes-toys-air-bags,Multi-purpose Electric Air Pump Without Valve Adaptors For Quickly Inflatesdeflates Sofa Bed Swimming Pool Tubes Toys Air Bags,"<p><br></p><style type=""text/css"" data-mce-fragment=""1""><!--
td {border: 1px solid #cccccc;}br {mso-data-placement:same-cell;}
--></style>
<strong>9080A Multi-Purpose Electric Air Pump Without Valve Adaptors for Quickly Inflates/Deflates Sofa, Bed, Swimming Pool Tubes, Toys, Air Bags<br></strong><br><strong>Description:-</strong><br><br>
<ul class=""a-unordered-list a-vertical a-spacing-mini"" data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span class=""a-list-item"" data-mce-fragment=""1"">Includes Three Interconnecting Nozzles for Different Types of Air Filling or Deflation Purposes.<br data-mce-fragment=""1""><br data-mce-fragment=""1""></span></li>
<li data-mce-fragment=""1""><span class=""a-list-item"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Inflates Even The Largest of Inflatables In No Time Like Inflatable Pools, Inflatable Large Sofa, Pool Tubes, Mattresses, etc.<br data-mce-fragment=""1""><br data-mce-fragment=""1""></span></span></li>
<li data-mce-fragment=""1""><span class=""a-list-item"" data-mce-fragment=""1"">Sleek, Compact Design Fits Perfectly In the Palm of Your Hand, and Can Be Easily Carried Anywhere for Quick Fill or Release.<br data-mce-fragment=""1""><br data-mce-fragment=""1""></span></li>
<li data-mce-fragment=""1""><span class=""a-list-item"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Simple to use, plug in and turn on the switch, the machine can operate.<br data-mce-fragment=""1""><br data-mce-fragment=""1""></span></span></li>
<li data-mce-fragment=""1""><span class=""a-list-item"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Do not turn on the pump continuously for a long time. ( 10 Minute )<br data-mce-fragment=""1""><br data-mce-fragment=""1""></span></span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Smart home appliances line with compact, lightweight design makes it easy to store, convenient to take to travel, picnic or shop in the family</span></li>
</ul>
<br><strong>Dimension:-<br><br></strong>Volu. Weight (Gm) :- 384<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Product Weight (Gm) :- 303<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Ship Weight (Gm) :- 384<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Length (Cm) :- 12<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Breadth (Cm) :- 13<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Height (Cm) :- 12<br data-mce-fragment=""1""><strong><br></strong>",Wukusy,,Automotive,Automotive,true,Title,Default Title,,,,,,,,9080a_electric_air_pump,384.0,wukusy,deny,wukusy,499.00,,true,true,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/Mw4RarJeyHfCwJCkrwWJ5882zQf55OvHTuRIVxH5.jpg?v=1742804043,1,Multi-purpose Electric Air Pump Without Valve Adaptors For Quickly Inflatesdeflates Sofa Bed Swimming Pool Tubes Toys Air Bags - LootFaat,false,,,,,,,,,,,,,,,,,,,,,,,g,,171.74,true,,,true,,,active
9080a-multi-purpose-electric-air-pump-without-valve-adaptors-for-quickly-inflatesdeflates-sofa-bed-swimming-pool-tubes-toys-air-bags,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/vCftD7FEblqyiTJu7hqKelpRJn01HtYHlMysYIVF.jpg?v=1742804043,2,Multi-purpose Electric Air Pump Without Valve Adaptors For Quickly Inflatesdeflates Sofa Bed Swimming Pool Tubes Toys Air Bags - LootFaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9080a-multi-purpose-electric-air-pump-without-valve-adaptors-for-quickly-inflatesdeflates-sofa-bed-swimming-pool-tubes-toys-air-bags,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/lodFyAjrfCoxrDrt7Q7ZIlMfZ0Zh2RQD97JgPA7K.jpg?v=1742804043,3,Multi-purpose Electric Air Pump Without Valve Adaptors For Quickly Inflatesdeflates Sofa Bed Swimming Pool Tubes Toys Air Bags - LootFaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9080a-multi-purpose-electric-air-pump-without-valve-adaptors-for-quickly-inflatesdeflates-sofa-bed-swimming-pool-tubes-toys-air-bags,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/o1xbHX1kkTRzPEcQvWSivrhuPpMA6s8qSdc49hgz.jpg?v=1742804043,4,Multi-purpose Electric Air Pump Without Valve Adaptors For Quickly Inflatesdeflates Sofa Bed Swimming Pool Tubes Toys Air Bags - LootFaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9080a-multi-purpose-electric-air-pump-without-valve-adaptors-for-quickly-inflatesdeflates-sofa-bed-swimming-pool-tubes-toys-air-bags,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/yjjqXb9qzqPHoiCpKoI8MEKt5RJweAoG2QglDodn_thumb_e116fb71-a812-4d13-9bd9-d328bbc0cb48.jpg?v=1742804043,5,Multi-purpose Electric Air Pump Without Valve Adaptors For Quickly Inflatesdeflates Sofa Bed Swimming Pool Tubes Toys Air Bags - LootFaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plastic-geometry-set-triangle-ruler-protractor-straight-ruler-4-pcs-set,Plastic Geometry Set Triangle Ruler Protractor Straight Ruler (4 Pcs Set),"<style type=""text/css""><!--td {border: 1px solid #cccccc;}br {mso-data-placement:same-cell;}--></style>
<h4 class=""a-size-large a-spacing-none""><span id=""productTitle"" class=""a-size-large product-title-word-break"">Plastic Geometry Set, Triangle Ruler Protractor Straight Ruler, Plastic Drafting Set, Clear Geometry Kit, Drafting Ruler (4 Pcs Set)</span></h4>
<p><strong><span class=""a-size-large product-title-word-break"">Description:-</span></strong></p>
<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">Easy to Read: The ruler is made of high-quality plastic, transparent and has a clear scale, which is very conducive to measurement and reading.<br><br></span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">2-sided Measurement: Straight rulers, with imperial and metric scales, can be measured in inches and centimetres.<br><br></span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Maths Tool: Use this practical learning and measurement tool to help students identify measurements.<br><br></span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Easy Carrying: Geometry tool is made of plastic and is lightweight enough to fit in a school bag for easy carrying.</span></li>
</ul>
<p><strong><span class=""a-list-item"">Dimension:-<br></span></strong><span class=""a-list-item"">Volu. Weight (Gm) :- 86<br> <br>Product Weight (Gm) :- 26<br> <br>Ship Weight (Gm) :- 86<br> <br>Length (Cm) :- 27<br> <br>Breadth (Cm) :- 14<br> <br>Height (Cm) :- 1</span><strong><span class=""a-list-item""><br></span></strong></p>",Wukusy,,Office,Office,true,Title,Default Title,,,,,,,,8975_big_plastic_geometry_4pc_set,86.0,wukusy,deny,wukusy,99.00,,true,true,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/4sgDcyaTQdgKEXa0OSlTkkE9uHrXXvhYE2mVpE5M.jpg?v=1742806164,1,Plastic Geometry Set Triangle Ruler Protractor Straight Ruler (4 Pcs Set) - LootFaat,false,,,,,,,,,,,,,,,,,,,,,,,g,,13.63,true,,,true,,,active
plastic-geometry-set-triangle-ruler-protractor-straight-ruler-4-pcs-set,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/5VTRt78sVz2XC8mszBw4Aw5clYAivpDCsPHa86lq.jpg?v=1742806164,2,Plastic Geometry Set Triangle Ruler Protractor Straight Ruler (4 Pcs Set) - LootFaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plastic-geometry-set-triangle-ruler-protractor-straight-ruler-4-pcs-set,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/wEcFQiFUUJUysQ7YM7O9I6EEFOaSmrIuxGzKSqiN.jpg?v=1742806164,3,Plastic Geometry Set Triangle Ruler Protractor Straight Ruler (4 Pcs Set) - LootFaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plastic-geometry-set-triangle-ruler-protractor-straight-ruler-4-pcs-set,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/Sta8JLVjBt2uo7yrwaLmBA8lfq7GoZRN7WPr8Qe9.jpg?v=1742806164,4,Plastic Geometry Set Triangle Ruler Protractor Straight Ruler (4 Pcs Set) - LootFaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plastic-geometry-set-triangle-ruler-protractor-straight-ruler-4-pcs-set,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0639/6388/9779/files/POts2XEQ88iT4SlfMDvTxOtyEvk5Cx1mB9xG3B96_thumb_5d990eb7-f287-49e1-834b-6488a03bb226.jpg?v=1742806164,5,Plastic Geometry Set Triangle Ruler Protractor Straight Ruler (4 Pcs Set) - LootFaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
